date,GRIPE_index
2025-09-29,0.3161628390993514
2025-09-30,0.27254460452115953
2025-10-01,0.2316767910609793
2025-10-02,0.3541950486550528
2025-10-03,0.2732574143778196
2025-10-04,0.39902303022495417
2025-10-05,0.4054810998500543
2025-10-06,0.23703919472015803
2025-10-07,0.2447881910176616
2025-10-08,0.2034976876909176
2025-10-09,0.35016024810379454
2025-10-10,0.303279173220541
2025-10-11,0.42652217096294326
2025-10-12,0.33974525490324486
2025-10-13,0.2703184784690915
2025-10-14,0.16010041352555213
2025-10-15,0.14261595141932795
2025-10-16,0.18167739681814676
2025-10-17,0.21606322422510904
2025-10-18,0.382366364015995
2025-10-19,0.3431525836508469
2025-10-20,0.19590151088105384
2025-10-21,0.18749600889974566
2025-10-22,0.18543417517082017
2025-10-23,0.1776378894578589
2025-10-24,0.2020980938012201
2025-10-25,0.18795161642283975
2025-10-26,0.2836250924506007
2025-10-27,0.18964523572691028
2025-10-28,0.21045906234851675
2025-10-29,0.28459873362601784
2025-10-30,0.2165192896862171
2025-10-31,0.206627809696907
2025-11-01,0.397066950701088
2025-11-02,0.34394318588667167
2025-11-03,0.2720994235213612
2025-11-04,0.25846413409388846
2025-11-05,0.2281323539575351
2025-11-06,0.15321101456989017
2025-11-07,0.15755687467564708
2025-11-08,0.23264757582845536
2025-11-09,0.24114669323980611
2025-11-10,0.1271987743710491
2025-11-11,0.1369219828167895
2025-11-12,0.17305343751536367
2025-11-13,0.10800500368891323
2025-11-14,0.1588479129005335
2025-11-15,0.21231388924934827
2025-11-16,0.2718197810486395
2025-11-17,0.2419563713832615
2025-11-18,0.17339085528393755
2025-11-19,0.26712649117919934
2025-11-20,0.25367966797917707
2025-11-21,0.08676117121388197
2025-11-22,0.22752367818920444
2025-11-23,0.3332643897037446
2025-11-24,0.26911540123199285
2025-11-25,0.19552619666346088
2025-11-26,0.19719019260219417
2025-11-27,0.16707469861977325
2025-11-28,0.10099274943364561
2025-11-29,0.11817195879839301
2025-11-30,0.1590342977131989
2025-12-01,0.1442475376640876
2025-12-02,0.1595957146476632
2025-12-03,0.1388302557851694
2025-12-04,0.13508421775485283
2025-12-05,0.19101385459959533
2025-12-06,0.17088553589952407
2025-12-07,0.2060609398463676
2025-12-08,0.20979476333837588
2025-12-09,0.1946403864153482
2025-12-10,0.1363341901054092
2025-12-11,0.13920792795711548
2025-12-12,0.12241492071235249
2025-12-13,0.13039080668150388
2025-12-14,0.160845826238285
2025-12-15,0.1673873051665322
2025-12-16,0.15381772504464988
2025-12-17,0.17189550432866146
2025-12-18,0.18552338051437672
2025-12-19,0.18536938181531887
2025-12-20,0.24215921099415028
2025-12-21,0.2117117030741833
2025-12-22,0.18244720565135022
2025-12-23,0.24367240934287449
2025-12-24,0.24384547142854043
2025-12-25,0.28000131973963294
2025-12-26,0.2702451721191862
2025-12-27,0.27184522003333295
2025-12-28,0.2962792966207042
2025-12-29,0.2559862121071832
2025-12-30,0.29601128253887693
2025-12-31,0.2748400597074947
