date,VRS_index
2025-09-29,0.031313133584690525
2025-09-30,0.03546577122347738
2025-10-01,0.0666666682935892
2025-10-02,0.037373739799938584
2025-10-03,0.032659935057836216
2025-10-04,0.036026937809380946
2025-10-05,0.029292931936884304
2025-10-06,0.04141414361032935
2025-10-07,0.03434343570090038
2025-10-08,0.045454546261927214
2025-10-09,0.02929293320376645
2025-10-10,0.02525252620711759
2025-10-11,0.06666666666666667
2025-10-12,0.0
2025-10-13,0.02996633116458702
2025-10-14,0.0427609460355378
2025-10-15,0.0198653212051891
2025-10-16,0.024579126274937992
2025-10-17,0.05196078431372549
2025-10-18,0.06666666666666667
2025-10-19,0.044117647058823525
2025-10-20,0.026599329628130417
2025-10-21,0.09952237305178482
2025-10-22,0.023232324464816198
2025-10-23,0.023232324352771384
2025-10-24,0.09090909224351354
2025-10-25,0.13219814241486066
2025-10-26,0.02626262724301839
2025-10-27,0.024579125771493387
2025-10-28,0.027272730684921656
2025-10-29,0.021212122069964322
2025-10-30,0.032659934260572884
2025-10-31,0.09705882352941177
2025-11-01,0.046078431372549015
2025-11-02,0.03529411764705882
2025-11-03,0.0802889576883385
2025-11-04,0.09097536450477627
2025-11-05,0.07058823529411765
2025-11-06,0.023569026902356804
2025-11-07,0.032659933420236764
2025-11-08,0.07745098039215685
2025-11-09,0.08431372549019607
2025-11-10,0.028619530671512152
2025-11-11,0.022895626437160067
2025-11-12,0.022558924173686063
2025-11-13,0.028619531004995195
2025-11-14,0.0784313725490196
2025-11-15,0.1
2025-11-16,0.19136302294197033
2025-11-17,0.09803921568627452
2025-11-18,0.03535353712933998
2025-11-19,0.02255892578844957
2025-11-20,0.08627450980392155
2025-11-21,0.02794612892652008
2025-11-22,0.026599326599326602
2025-11-23,0.10221216691804927
2025-11-24,0.08823529411764705
2025-11-25,0.024579127096347617
2025-11-26,0.09509803921568628
2025-11-27,0.10980392156862745
2025-11-28,0.030639733538281304
2025-11-29,0.11372549019607844
2025-11-30,0.024579129654297652
2025-12-01,0.022895629784683548
2025-12-02,0.029292934664844634
2025-12-03,0.31279537456008044
2025-12-04,0.02996633421047009
2025-12-05,0.04175084363126602
2025-12-06,0.024579125824487555
2025-12-07,0.030639736789182238
2025-12-08,0.024579128784590436
2025-12-09,0.08997575934439547
2025-12-10,0.034343437427252425
2025-12-11,0.03804714072759614
2025-12-12,0.08989899442746782
2025-12-13,0.13333333333333333
2025-12-14,0.0326599344206369
2025-12-15,0.02794613173127543
2025-12-16,0.09663300049169558
2025-12-17,0.08055187099808646
2025-12-18,0.08935222479505102
2025-12-19,0.07975415690114275
2025-12-20,0.07916304714536943
2025-12-21,0.1607347619727856
2025-12-22,0.07894616418305692
2025-12-23,0.08213188960691856
2025-12-24,0.07384403296607166
2025-12-25,0.08531714636388096
2025-12-26,0.07746046616715822
2025-12-27,0.09208467277219762
2025-12-28,0.09542481468278234
2025-12-29,0.0907732963216183
2025-12-30,0.08421550593904073
2025-12-31,0.03367003367003367
